26.76,8.9
26.3,9.21
18.91,4.88
26.58,9.44
22.08,6.56
24.02,7.22
20.03,5.47
26.2,8.53
22.61,6.37
24.75,7.3
20.79,5.04
22.17,6.85
24.65,7.68
26.04,8.71
28.42,11.33
22.62,6.84
26.0,9.59
18.44,4.66
26.05,9.61
24.56,8.22
24.56,7.51
24.33,7.52
28.39,10.87
22.66,6.29
20.77,5.45
28.48,10.81
22.98,6.48
22.39,6.86
20.59,5.59
20.71,5.47
18.07,3.03
24.4,7.28
28.9,11.26
17.05,1.54
24.13,7.68
22.24,6.84
24.65,8.06
20.8,5.43
22.54,6.37
28.96,10.3
22.78,6.59
18.87,4.6
24.17,8.08
28.43,10.32
28.17,10.14
22.83,6.08
26.58,8.76
26.24,8.63
17.11,4.99
26.54,9.17
28.37,10.82
28.42,10.38
20.5,5.08
26.06,9.56
22.61,6.33
22.36,6.6
18.29,1.19
24.04,7.17
20.14,5.26
20.53,5.21
20.89,5.44
17.94,2.13
24.2,8.09
26.2,8.89
26.98,9.89
28.36,11.39
20.72,5.61
26.87,9.53
26.56,9.86
26.38,8.57
22.21,6.15
28.64,10.73
20.41,5.73
22.5,6.02
26.13,8.58
28.33,10.77
20.73,5.52
26.21,8.63
28.85,10.99
28.43,11.21
28.33,11.05
20.28,5.43
18.74,2.68
18.59,1.99
20.77,5.17
24.96,7.06
28.65,10.95
22.36,6.24
17.11,2.66
20.51,5.46
24.48,7.11
26.36,8.62
17.04,4.49
28.06,10.35
24.18,8.48
20.45,5.52
20.77,5.07
28.33,10.88
20.34,5.59
28.04,10.96
28.27,11.11
20.06,5.98
18.79,4.08
26.78,8.72
26.21,9.29
28.42,10.19
20.21,5.49
28.89,10.26
17.07,2.53
28.95,10.14
20.97,5.9
22.51,6.56
20.69,5.8
17.72,3.04
20.04,5.97
18.44,1.04
22.97,6.85
24.27,8.01
26.48,9.65
26.07,9.56
22.23,6.11
28.34,10.57
17.11,3.6
18.74,4.73
28.33,10.63
18.28,4.87
24.97,7.59
18.07,1.49
22.63,6.54
18.11,4.55
18.34,1.99
20.51,5.78
28.57,11.28
26.21,9.89
28.99,11.38
26.96,8.65
26.64,8.66
24.27,7.03
26.97,9.0
26.7,9.99
28.83,10.33
22.64,7.0
22.47,6.82
22.78,6.23
24.34,8.09
24.25,7.99
17.79,1.47
20.8,5.26
24.24,7.58
24.9,7.13
22.64,6.99
18.07,1.1
18.7,3.82
24.94,7.58
18.88,2.23
22.89,6.28
17.49,1.85
20.14,5.01
28.47,10.39
22.97,6.25
18.93,2.81
28.47,11.32
28.76,11.08
24.77,7.13
20.3,5.67
20.26,5.39
18.73,1.26
22.52,6.1
20.1,5.27
24.56,8.1
20.52,5.24
22.4,6.75
22.94,6.55
20.21,5.8
28.46,11.44
22.22,6.18
18.68,1.57
18.22,2.89
26.26,9.53
