50.11,73.52
56.26,103.9
51.37,73.74
28.28,10.23
43.57,39.15
28.01,10.65
22.61,6.57
28.48,11.16
26.8,9.07
22.88,6.37
57.96,94.59
47.26,58.7
17.88,4.9
20.43,5.3
48.29,49.49
48.31,50.65
55.78,101.35
50.84,74.63
53.86,70.28
18.9,2.02
45.29,49.35
57.93,101.05
48.0,54.16
24.82,8.12
41.22,41.0
47.16,55.53
28.86,10.4
22.25,6.31
28.04,10.82
48.1,57.94
24.99,8.23
51.02,74.26
20.4,5.37
26.17,8.89
47.19,52.83
28.47,10.83
17.64,1.69
28.32,11.06
24.9,8.34
28.3,10.71
28.15,10.75
52.39,71.8
28.48,10.88
57.04,101.98
57.36,94.2
24.14,7.09
52.29,78.28
17.53,4.21
18.96,1.02
17.23,4.77
18.84,1.26
22.5,6.43
28.4,10.91
28.38,11.37
42.73,44.06
51.45,73.07
18.99,2.66
48.67,53.53
56.48,103.28
51.84,78.06
24.89,8.18
47.1,58.78
26.94,9.64
41.23,44.82
42.17,38.74
56.59,109.86
22.05,6.9
52.14,75.17
48.04,53.43
28.26,11.04
26.99,9.41
48.43,56.39
45.13,58.64
58.29,99.42
57.67,109.61
55.92,104.54
58.38,94.14
26.75,9.37
20.46,5.58
50.17,81.22
26.67,9.43
24.95,8.19
48.25,59.11
48.43,52.03
28.08,10.91
57.4,108.72
18.49,2.85
42.5,38.38
58.31,95.01
28.67,10.45
56.31,98.1
55.75,103.16
20.21,5.63
20.63,5.16
28.02,11.49
20.98,5.25
26.22,9.52
28.82,10.18
47.47,53.74
57.04,97.5
22.26,6.18
18.97,3.13
56.04,95.49
29.0,11.3
17.45,4.7
58.9,108.51
20.06,5.2
28.83,11.39
46.85,50.88
57.71,93.76
24.23,8.43
51.01,72.68
20.09,5.05
24.1,7.46
26.95,9.14
52.78,74.08
58.2,104.94
53.6,74.76
42.07,44.61
17.7,1.74
18.16,4.65
20.69,5.06
22.69,6.87
20.04,5.05
57.02,103.3
47.53,53.9
45.85,57.55
43.41,43.8
24.6,7.9
28.33,10.42
47.48,57.55
51.13,67.8
24.04,7.3
57.68,107.5
48.14,54.16
45.47,55.77
28.38,10.44
20.47,5.01
58.33,106.55
56.17,100.14
28.92,10.93
57.79,91.28
50.45,74.67
28.52,11.22
18.26,3.49
52.01,73.61
43.89,41.74
